Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,user-definedlabeln
41.00,40.00,19.00,637753.00,134449.00,70624.00,15194.00,23700.00,23409.00,19713.00,8014.00,1
30.00,29.00,26.00,635878.00,395011.00,81713.00,25384.00,12133.00,23199.00,5560.00,4509.00,1
20.00,38.00,-27.00,45394.00,72541.00,13768.00,10592.00,4875.00,3282.00,2190.00,996.00,1
34.00,51.00,28.00,2362080.00,63080.00,89336.00,13348.00,26518.00,25139.00,6769.00,7434.00,1
27.00,50.00,139.00,688036.00,163473.00,68844.00,12599.00,13202.00,16777.00,5679.00,6796.00,1
26.00,61.00,89.00,679568.00,41466.00,15847.00,17608.00,5169.00,2682.00,3048.00,2431.00,1
23.00,56.00,-97.00,477138.00,365824.00,25796.00,46703.00,18197.00,12836.00,6164.00,6999.00,1
1.00,35.00,161.00,294146.00,104482.00,10440.00,2174.00,3156.00,2821.00,1402.00,1335.00,1
4.00,24.00,-54.00,930854.00,144959.00,13359.00,18387.00,12892.00,15608.00,9008.00,3962.00,1
38.00,23.00,164.00,1983851.00,491868.00,9883.00,92183.00,29545.00,59367.00,5833.00,12311.00,1
53.00,30.00,-52.00,981815.00,1176002.00,209076.00,93842.00,138034.00,127567.00,41951.00,45660.00,1
43.00,26.00,-103.00,944629.00,55731.00,7536.00,543.00,5385.00,2662.00,3072.00,1253.00,1
34.00,8.00,-22.00,1873472.00,2145547.00,212520.00,61430.00,65210.00,173041.00,33513.00,44900.00,1
23.00,17.00,183.00,2023505.00,288398.00,53015.00,70114.00,36412.00,18158.00,18888.00,12222.00,1
23.00,35.00,-14.00,730293.00,29407.00,62578.00,15601.00,25063.00,8893.00,6556.00,5493.00,1
30.00,51.00,83.00,268728.00,37247.00,6701.00,20762.00,9827.00,5245.00,2738.00,986.00,1
47.00,67.00,76.00,441831.00,18588.00,12594.00,2984.00,3557.00,7762.00,2011.00,1542.00,1
38.00,57.00,88.00,156872.00,912975.00,24305.00,107793.00,28110.00,23161.00,17021.00,4919.00,1
26.00,40.00,-120.00,839377.00,601805.00,40714.00,97335.00,62704.00,25209.00,15272.00,7746.00,1
30.00,34.00,128.00,1199104.00,113647.00,18792.00,27676.00,27178.00,17721.00,15385.00,4759.00,1
26.00,38.00,61.00,2386326.00,260566.00,233259.00,240676.00,160763.00,114860.00,38449.00,12895.00,1
24.00,34.00,-98.00,475479.00,664564.00,39212.00,31982.00,57007.00,11832.00,3607.00,5699.00,1
34.00,37.00,41.00,1355390.00,120371.00,38642.00,14342.00,16489.00,12229.00,3530.00,635.00,1
29.00,48.00,85.00,1014384.00,48217.00,45870.00,15259.00,11495.00,9080.00,4129.00,2731.00,1
20.00,38.00,21.00,1014424.00,407097.00,188276.00,3762.00,69065.00,44433.00,12565.00,12788.00,1
37.00,63.00,-2.00,1416242.00,551974.00,521405.00,191534.00,150318.00,74064.00,41457.00,21303.00,1
27.00,57.00,22.00,1029768.00,290556.00,41027.00,22402.00,37069.00,10998.00,15957.00,4204.00,1
27.00,48.00,244.00,1121277.00,700815.00,129803.00,190213.00,101150.00,84195.00,65227.00,11551.00,1
23.00,37.00,409.00,1811564.00,715606.00,20279.00,87012.00,121415.00,33215.00,40813.00,11420.00,1
20.00,20.00,-123.00,908620.00,134679.00,15067.00,13946.00,12079.00,7651.00,2279.00,1304.00,1
30.00,29.00,60.00,871641.00,121574.00,38893.00,27822.00,22068.00,14521.00,5792.00,2730.00,1
20.00,10.00,113.00,1063599.00,220479.00,9370.00,3223.00,8944.00,7498.00,8997.00,2173.00,1
21.00,7.00,-8.00,1010704.00,706354.00,38671.00,30865.00,101582.00,40381.00,8546.00,5623.00,1
30.00,8.00,-75.00,1067999.00,271452.00,35506.00,44330.00,34029.00,35484.00,15144.00,8160.00,1
29.00,1.00,123.00,724340.00,349722.00,13357.00,43056.00,48055.00,27303.00,6728.00,7734.00,1
26.00,10.00,141.00,349586.00,347238.00,33770.00,37020.00,24382.00,9750.00,2364.00,5146.00,1
24.00,21.00,-65.00,459183.00,1038815.00,220975.00,82848.00,33894.00,62255.00,17609.00,15857.00,1
8.00,13.00,-36.00,598727.00,404135.00,28488.00,23007.00,29661.00,12252.00,3057.00,4399.00,1
10.00,13.00,75.00,928371.00,431157.00,52758.00,11881.00,14234.00,42657.00,9153.00,7619.00,1
11.00,16.00,135.00,1308159.00,1556742.00,368856.00,37851.00,45050.00,50360.00,39466.00,13726.00,1
4.00,30.00,-24.00,1229550.00,80562.00,63822.00,49868.00,6061.00,4895.00,9575.00,3241.00,1
4.00,53.00,-107.00,1003552.00,95049.00,95674.00,18929.00,18411.00,5785.00,13366.00,3882.00,1
3.00,61.00,154.00,604268.00,123212.00,29478.00,11311.00,11658.00,11779.00,6765.00,2375.00,1
21.00,69.00,100.00,311043.00,36984.00,21609.00,3430.00,899.00,7938.00,1015.00,1044.00,1
37.00,53.00,53.00,989019.00,124648.00,12225.00,31804.00,16207.00,15934.00,7682.00,1889.00,1
60.00,47.00,-57.00,1388891.00,63516.00,27017.00,16323.00,11236.00,20848.00,6127.00,2946.00,1
66.00,57.00,77.00,842116.00,50606.00,62797.00,10498.00,25124.00,14915.00,6918.00,4267.00,1
61.00,66.00,140.00,1827778.00,95308.00,131922.00,37999.00,19405.00,22653.00,21965.00,2943.00,1
63.00,74.00,-3.00,978101.00,18669.00,4886.00,8564.00,3714.00,3647.00,3647.00,1824.00,1
44.00,74.00,-49.00,1526111.00,125274.00,25269.00,52518.00,14969.00,8531.00,3852.00,4652.00,1
29.00,75.00,74.00,334026.00,30824.00,22860.00,20476.00,18257.00,2401.00,4334.00,3037.00,1
23.00,48.00,200.00,314836.00,74485.00,4076.00,3763.00,12117.00,3691.00,2143.00,1355.00,1
20.00,50.00,-28.00,1140104.00,141183.00,80318.00,43933.00,33326.00,26393.00,5961.00,8125.00,1
17.00,48.00,-1.00,263247.00,284690.00,112481.00,32695.00,24611.00,17092.00,11957.00,5690.00,1
35.00,38.00,91.00,2054102.00,93127.00,22272.00,15159.00,8045.00,14646.00,1934.00,4476.00,1
44.00,44.00,146.00,2124899.00,83252.00,11551.00,3109.00,8307.00,9276.00,13409.00,2029.00,1
29.00,44.00,-8.00,635453.00,281941.00,210598.00,9478.00,29418.00,14291.00,8336.00,4995.00,1
41.00,41.00,-126.00,1202003.00,158994.00,36104.00,24022.00,9579.00,23784.00,7175.00,1754.00,1
41.00,44.00,-151.00,2383736.00,416204.00,229870.00,30867.00,38925.00,70035.00,29417.00,12635.00,1
24.00,47.00,187.00,138732.00,62970.00,8382.00,2937.00,2720.00,2169.00,1668.00,448.00,1
40.00,29.00,7.00,944194.00,164382.00,7680.00,22193.00,13301.00,16041.00,7391.00,3358.00,1
35.00,44.00,18.00,1722156.00,317746.00,369637.00,138665.00,32606.00,58963.00,36052.00,15031.00,1
16.00,38.00,-30.00,602170.00,209439.00,39378.00,18793.00,18125.00,6182.00,8205.00,5139.00,1
20.00,40.00,138.00,1607326.00,1510364.00,130746.00,146973.00,46026.00,65186.00,12780.00,13296.00,1
14.00,56.00,-11.00,1478987.00,77952.00,52993.00,22735.00,13185.00,8453.00,11162.00,5828.00,1
1.00,30.00,48.00,135475.00,275596.00,27891.00,10720.00,27369.00,6412.00,4540.00,2227.00,1
14.00,34.00,-13.00,753590.00,971914.00,283251.00,90607.00,73981.00,106737.00,26966.00,22706.00,1
26.00,50.00,82.00,1634890.00,385962.00,34792.00,360685.00,36515.00,75518.00,35759.00,16873.00,1
14.00,41.00,312.00,1471188.00,584086.00,199463.00,33746.00,68834.00,15576.00,27852.00,13638.00,1
27.00,57.00,74.00,855126.00,189733.00,90894.00,61575.00,28517.00,23798.00,7707.00,13432.00,1
26.00,51.00,10.00,374687.00,21131.00,3015.00,2161.00,6346.00,1616.00,929.00,1112.00,1
23.00,37.00,92.00,1664463.00,834562.00,34016.00,134012.00,63478.00,87798.00,19744.00,13918.00,1
43.00,24.00,116.00,940779.00,670772.00,38952.00,63858.00,44021.00,81193.00,29102.00,5606.00,1
38.00,13.00,13.00,1077810.00,390762.00,77174.00,16991.00,42698.00,21467.00,28776.00,11189.00,1
35.00,38.00,69.00,595199.00,54170.00,108283.00,37402.00,14021.00,10352.00,6731.00,3193.00,1
27.00,35.00,53.00,145267.00,38261.00,3631.00,2151.00,4927.00,1895.00,1498.00,1006.00,1
16.00,29.00,337.00,641274.00,1200059.00,28219.00,73859.00,27523.00,47073.00,22035.00,14170.00,1
21.00,35.00,54.00,1019696.00,50999.00,17707.00,6344.00,11138.00,5465.00,7052.00,3200.00,1
14.00,16.00,51.00,737044.00,212202.00,34778.00,33059.00,7654.00,9096.00,5039.00,3649.00,1
7.00,21.00,71.00,1285435.00,521797.00,75579.00,42497.00,14471.00,13992.00,6775.00,6634.00,1
23.00,43.00,89.00,375571.00,47669.00,32035.00,12215.00,8707.00,14993.00,12835.00,4749.00,1
21.00,30.00,60.00,800480.00,157000.00,12002.00,4843.00,9388.00,9930.00,9019.00,5151.00,1
34.00,37.00,-49.00,1553261.00,119746.00,56266.00,41931.00,16193.00,17447.00,9872.00,4785.00,1
41.00,41.00,0.00,627054.00,83947.00,14283.00,14606.00,8887.00,5180.00,5579.00,4565.00,1
23.00,50.00,24.00,310161.00,69623.00,66679.00,33290.00,9103.00,5309.00,9597.00,4548.00,1
29.00,53.00,-506.00,1184061.00,41756.00,26010.00,27986.00,7728.00,31457.00,13142.00,1602.00,1
41.00,53.00,-184.00,2668588.00,250068.00,48031.00,144719.00,45339.00,71683.00,43788.00,8778.00,1
41.00,67.00,326.00,1702297.00,395793.00,7732.00,333101.00,8756.00,62117.00,98710.00,4782.00,1
53.00,77.00,-9.00,97613.00,5663.00,14383.00,4286.00,672.00,31207.00,2339.00,225.00,1
57.00,70.00,-68.00,1643278.00,70092.00,18286.00,50412.00,12175.00,83076.00,9773.00,1960.00,1
63.00,74.00,9.00,856773.00,46002.00,11171.00,37886.00,5148.00,24443.00,15883.00,2304.00,1
60.00,67.00,-8.00,526675.00,165445.00,49914.00,33027.00,3982.00,15154.00,21753.00,1868.00,1
57.00,60.00,-33.00,103713.00,15019.00,3287.00,5091.00,1129.00,27492.00,944.00,458.00,1
60.00,56.00,172.00,436400.00,8463.00,3905.00,4673.00,7469.00,14784.00,4435.00,1368.00,1
53.00,51.00,23.00,183382.00,17513.00,5042.00,3120.00,3132.00,3203.00,11712.00,192.00,1
67.00,61.00,-69.00,1627991.00,93717.00,165070.00,184834.00,47331.00,114962.00,59227.00,2050.00,1
50.00,70.00,-4.00,2631823.00,228174.00,23900.00,210185.00,78645.00,89319.00,194446.00,10268.00,1
44.00,67.00,-182.00,826715.00,112695.00,15660.00,24612.00,9264.00,65139.00,6918.00,1313.00,1
44.00,67.00,12.00,2378250.00,51149.00,26179.00,28289.00,6115.00,36358.00,14837.00,2591.00,1
43.00,67.00,-77.00,1070686.00,131470.00,46334.00,13070.00,15886.00,21299.00,10474.00,1700.00,1
41.00,47.00,51.00,601811.00,103504.00,5175.00,15173.00,6603.00,28981.00,15596.00,1199.00,1
38.00,51.00,289.00,764378.00,190507.00,133124.00,174500.00,49982.00,59718.00,106300.00,3927.00,1
29.00,66.00,1.00,809383.00,37519.00,13087.00,62556.00,29020.00,16912.00,24903.00,1290.00,1
20.00,67.00,-181.00,1797368.00,142523.00,23969.00,46694.00,12530.00,10035.00,9873.00,3800.00,1
11.00,75.00,113.00,110531.00,37150.00,8012.00,4909.00,1409.00,5049.00,5153.00,538.00,1
30.00,67.00,-45.00,168513.00,9467.00,2651.00,17031.00,289.00,27945.00,1590.00,684.00,1
40.00,63.00,-97.00,835981.00,38039.00,18736.00,29647.00,15963.00,33261.00,29546.00,1006.00,1
54.00,60.00,-165.00,942295.00,85253.00,9581.00,28089.00,15136.00,28610.00,34752.00,1674.00,1
60.00,67.00,304.00,1130687.00,66178.00,36594.00,31704.00,15758.00,22654.00,5358.00,4371.00,1
38.00,60.00,221.00,1907711.00,761362.00,60227.00,115223.00,23729.00,83094.00,64342.00,7686.00,1
35.00,57.00,-71.00,792470.00,140121.00,29320.00,109162.00,89918.00,88390.00,124963.00,7975.00,1
26.00,69.00,-134.00,253587.00,14252.00,19419.00,3138.00,2812.00,3525.00,9644.00,286.00,1
29.00,69.00,323.00,275848.00,7741.00,5669.00,3720.00,1582.00,4089.00,3383.00,408.00,1
38.00,75.00,-77.00,222387.00,32282.00,2868.00,9497.00,1881.00,8588.00,3449.00,597.00,1
35.00,74.00,-7.00,854746.00,78864.00,46458.00,14267.00,30579.00,27169.00,31313.00,2671.00,1
43.00,61.00,348.00,609646.00,72737.00,15713.00,18626.00,14190.00,24443.00,21079.00,2250.00,1
37.00,53.00,171.00,96988.00,19400.00,1372.00,6153.00,2370.00,3353.00,5812.00,303.00,1
38.00,51.00,-305.00,745030.00,73112.00,19913.00,12025.00,33439.00,25631.00,18726.00,2468.00,1
47.00,47.00,-14.00,214684.00,125484.00,9287.00,44802.00,14707.00,81812.00,7522.00,2365.00,1
48.00,47.00,36.00,1062360.00,213979.00,30251.00,93169.00,49064.00,97425.00,126365.00,5350.00,1
53.00,44.00,-86.00,671695.00,520763.00,136026.00,52402.00,39642.00,136490.00,49422.00,8703.00,1
44.00,47.00,311.00,1714219.00,94865.00,19515.00,16416.00,18866.00,13763.00,24200.00,1410.00,1
30.00,50.00,101.00,803345.00,121664.00,13944.00,41032.00,5589.00,17465.00,24453.00,1358.00,1
20.00,41.00,-43.00,1446392.00,184373.00,21903.00,15891.00,14165.00,15382.00,13722.00,2573.00,1
8.00,41.00,-94.00,620593.00,799588.00,19628.00,195179.00,15236.00,63999.00,75527.00,16568.00,1
10.00,43.00,232.00,117006.00,27289.00,7855.00,5398.00,4199.00,4976.00,5107.00,606.00,1
13.00,38.00,402.00,2896998.00,998251.00,119037.00,128405.00,10489.00,174641.00,52400.00,9335.00,1
17.00,56.00,-70.00,811786.00,167584.00,146682.00,247678.00,46860.00,82721.00,25963.00,8837.00,1
21.00,56.00,-249.00,434598.00,184948.00,28911.00,20247.00,5567.00,21851.00,29475.00,3008.00,1
23.00,61.00,309.00,2731475.00,1176618.00,117812.00,786017.00,168596.00,300892.00,243583.00,54080.00,1
16.00,75.00,-20.00,247247.00,132954.00,100077.00,34696.00,4562.00,18544.00,5635.00,1311.00,1
21.00,66.00,32.00,1343117.00,55428.00,31365.00,17949.00,12308.00,22866.00,10731.00,839.00,1
23.00,75.00,3.00,1150019.00,122760.00,59051.00,30994.00,3885.00,24307.00,23655.00,4126.00,1
27.00,83.00,262.00,1540656.00,26089.00,27034.00,42575.00,7512.00,20983.00,19701.00,2292.00,1
44.00,77.00,-65.00,578464.00,60328.00,15672.00,39289.00,7087.00,49246.00,9119.00,1436.00,1
40.00,67.00,310.00,1998559.00,152081.00,30832.00,16425.00,10324.00,27164.00,39579.00,6100.00,1
41.00,77.00,-72.00,1630260.00,40500.00,52839.00,28304.00,5668.00,16365.00,9142.00,1507.00,1
34.00,77.00,-60.00,664195.00,220147.00,86198.00,355406.00,43470.00,62344.00,47726.00,8642.00,1
20.00,53.00,124.00,693585.00,352108.00,3224.00,10443.00,7050.00,40503.00,26345.00,2824.00,1
16.00,57.00,278.00,489292.00,152331.00,51635.00,18060.00,23800.00,19410.00,11567.00,1529.00,1
21.00,48.00,120.00,918327.00,87609.00,14404.00,43497.00,10034.00,38851.00,25398.00,4329.00,1
21.00,41.00,-201.00,853867.00,79372.00,31535.00,58040.00,41251.00,14969.00,17162.00,3215.00,1
24.00,69.00,135.00,909311.00,66058.00,32707.00,30437.00,12828.00,22321.00,13138.00,1825.00,1
30.00,70.00,229.00,606539.00,134126.00,63020.00,16324.00,9474.00,32796.00,11694.00,2266.00,1
34.00,64.00,-106.00,88946.00,26871.00,4200.00,4806.00,2934.00,12773.00,3518.00,384.00,1
40.00,54.00,-155.00,1703399.00,2567643.00,164614.00,547180.00,105517.00,538188.00,145466.00,33760.00,1
37.00,51.00,261.00,665803.00,91458.00,20457.00,43382.00,32539.00,17560.00,13019.00,3825.00,1
27.00,40.00,213.00,752310.00,214100.00,22203.00,12160.00,9709.00,16068.00,11591.00,1515.00,1
30.00,48.00,-180.00,2888265.00,373590.00,183497.00,128841.00,12634.00,306194.00,23311.00,3936.00,1
47.00,44.00,-23.00,2966418.00,237191.00,42710.00,46790.00,8134.00,267010.00,27373.00,5874.00,1
47.00,41.00,280.00,72701.00,117097.00,5648.00,47085.00,12475.00,19894.00,9975.00,1999.00,1
51.00,51.00,-35.00,1653956.00,318548.00,69492.00,92335.00,47458.00,55379.00,41405.00,8594.00,1
51.00,51.00,43.00,1607145.00,177450.00,50114.00,32200.00,6982.00,25607.00,32911.00,1743.00,1
47.00,57.00,67.00,794407.00,22369.00,32701.00,9258.00,10202.00,15748.00,19520.00,417.00,1
37.00,66.00,89.00,130327.00,22931.00,4249.00,11482.00,1745.00,13472.00,1425.00,882.00,1
43.00,66.00,165.00,168537.00,20478.00,5207.00,2822.00,1934.00,5787.00,5806.00,475.00,1
43.00,64.00,98.00,2430552.00,45729.00,10330.00,44209.00,6631.00,12401.00,22769.00,3197.00,1
37.00,70.00,-196.00,440713.00,53765.00,39672.00,48241.00,30807.00,21907.00,10392.00,10503.00,1
38.00,83.00,466.00,2234978.00,770435.00,843805.00,653201.00,110087.00,608350.00,359635.00,44237.00,1
24.00,81.00,294.00,1335648.00,186044.00,33588.00,35764.00,27324.00,16049.00,7826.00,1192.00,1
24.00,81.00,-40.00,725650.00,10587.00,3211.00,25706.00,2566.00,3833.00,4973.00,483.00,1
35.00,75.00,-164.00,1877437.00,28962.00,26884.00,11117.00,27466.00,27237.00,17513.00,3764.00,1
38.00,66.00,65.00,596550.00,62427.00,9213.00,21376.00,10366.00,16521.00,14240.00,3455.00,1
35.00,57.00,-196.00,1099626.00,77558.00,8800.00,34324.00,11382.00,20675.00,29579.00,3270.00,1
50.00,53.00,-86.00,59416.00,27656.00,1312.00,6225.00,3173.00,12234.00,3632.00,367.00,1
30.00,50.00,-113.00,1191090.00,566366.00,171639.00,51503.00,18582.00,48957.00,66306.00,6735.00,1
30.00,54.00,-136.00,1015507.00,86107.00,59213.00,9780.00,5434.00,27459.00,14118.00,1085.00,1
23.00,54.00,-59.00,236131.00,61689.00,16328.00,9273.00,5353.00,6211.00,6263.00,252.00,1
10.00,69.00,-10.00,1176210.00,329563.00,66802.00,312244.00,23151.00,53871.00,104222.00,12798.00,1
13.00,77.00,75.00,1376244.00,183333.00,106336.00,28713.00,4072.00,25921.00,16598.00,2828.00,1
11.00,69.00,137.00,1675076.00,1456480.00,176482.00,442422.00,110834.00,281664.00,205298.00,12464.00,1
14.00,66.00,-617.00,916797.00,121946.00,27285.00,12144.00,8369.00,17965.00,22228.00,1688.00,1
11.00,60.00,149.00,1108682.00,159153.00,69456.00,17441.00,8761.00,14583.00,25921.00,2035.00,1
20.00,64.00,-8.00,618756.00,33199.00,39981.00,24612.00,5929.00,19469.00,3927.00,2006.00,1
23.00,66.00,56.00,2218563.00,149441.00,15825.00,52982.00,4140.00,41541.00,8102.00,1230.00,1
11.00,54.00,108.00,579784.00,576333.00,17126.00,24002.00,6889.00,19697.00,22197.00,2583.00,1
4.00,29.00,273.00,58420.00,100899.00,1981.00,1619.00,3123.00,2367.00,4049.00,375.00,1
1.00,21.00,-52.00,1948331.00,2260305.00,298467.00,1016913.00,550382.00,273422.00,178379.00,27590.00,1
1.00,16.00,-149.00,2016266.00,131530.00,12916.00,21812.00,7019.00,25948.00,21075.00,2103.00,1
7.00,30.00,310.00,160818.00,80646.00,17766.00,20315.00,21114.00,13247.00,13355.00,2078.00,1
26.00,48.00,-19.00,448089.00,148703.00,23945.00,15522.00,9116.00,35737.00,22128.00,2070.00,1
27.00,35.00,-36.00,2982496.00,489536.00,24470.00,49026.00,27717.00,57428.00,24541.00,5580.00,1
24.00,50.00,50.00,896926.00,50768.00,30907.00,37471.00,14033.00,11783.00,15523.00,1530.00,1
35.00,54.00,-171.00,2091032.00,863187.00,126602.00,812503.00,136881.00,610209.00,182629.00,12955.00,1
35.00,54.00,-488.00,31202.00,2542.00,134.00,1508.00,525.00,2001.00,787.00,146.00,1
57.00,50.00,116.00,93219.00,9480.00,1215.00,3979.00,4382.00,32716.00,890.00,279.00,1
61.00,63.00,-200.00,79146.00,23679.00,5880.00,12448.00,1541.00,6165.00,4574.00,329.00,1
61.00,63.00,-50.00,441381.00,24827.00,10782.00,6104.00,3729.00,3216.00,6359.00,433.00,1
90.00,48.00,470.00,658612.00,6081.00,3499.00,3454.00,1877.00,24978.00,556.00,555.00,1
87.00,48.00,292.00,2072377.00,44529.00,10410.00,41196.00,19589.00,22545.00,8569.00,1531.00,1
67.00,63.00,-315.00,2016190.00,216085.00,114498.00,94936.00,56372.00,123165.00,70224.00,12983.00,1
63.00,56.00,-382.00,190403.00,55265.00,17135.00,2468.00,541.00,6370.00,4027.00,421.00,1
37.00,61.00,276.00,1880486.00,1841883.00,431454.00,230745.00,154517.00,318001.00,265408.00,32307.00,1
29.00,57.00,96.00,1924303.00,450066.00,120010.00,134085.00,53983.00,84907.00,28775.00,19482.00,1
40.00,47.00,-211.00,1953097.00,366074.00,30083.00,80518.00,9859.00,409376.00,28971.00,7070.00,1
54.00,47.00,-135.00,379263.00,129605.00,14285.00,45287.00,7309.00,79485.00,9022.00,1471.00,1
53.00,51.00,321.00,858682.00,78471.00,38502.00,14662.00,7247.00,15919.00,22633.00,874.00,1
57.00,61.00,133.00,301094.00,10469.00,17534.00,26093.00,9975.00,12271.00,20090.00,1538.00,1
47.00,74.00,-65.00,880351.00,72778.00,25661.00,30147.00,8746.00,29918.00,16762.00,2142.00,1
44.00,83.00,-83.00,2164864.00,200461.00,93030.00,170781.00,10054.00,160832.00,56970.00,7042.00,1
47.00,78.00,291.00,833068.00,327427.00,13099.00,120396.00,47025.00,71023.00,56926.00,7967.00,1
30.00,54.00,-76.00,990048.00,1033337.00,59773.00,62596.00,27798.00,45374.00,54903.00,8127.00,1
24.00,51.00,4.00,370395.00,75103.00,34271.00,16326.00,33184.00,15087.00,19263.00,2740.00,1
16.00,53.00,-202.00,1409031.00,698417.00,427206.00,601948.00,205976.00,244127.00,249830.00,39867.00,1
4.00,63.00,157.00,530489.00,276710.00,138290.00,152159.00,19303.00,24064.00,36474.00,6494.00,1
23.00,77.00,-198.00,1029215.00,41971.00,5910.00,21897.00,9687.00,20840.00,11289.00,1098.00,1
24.00,84.00,153.00,1192462.00,36819.00,40096.00,15605.00,7690.00,13096.00,13569.00,1848.00,1
23.00,67.00,7.00,700249.00,381657.00,27570.00,42525.00,8237.00,48041.00,6844.00,1973.00,1
35.00,57.00,65.00,148785.00,92213.00,10642.00,33661.00,3733.00,21300.00,12185.00,861.00,1
38.00,66.00,-113.00,344083.00,37155.00,41337.00,75843.00,18133.00,72533.00,9161.00,1559.00,1
48.00,53.00,216.00,824471.00,136183.00,2551.00,49362.00,8511.00,70390.00,2385.00,2714.00,1
56.00,51.00,50.00,891207.00,224115.00,6212.00,29479.00,5758.00,63934.00,12737.00,2556.00,1
48.00,51.00,-44.00,1009364.00,134224.00,18221.00,36795.00,12678.00,11060.00,15405.00,2264.00,1
29.00,38.00,-18.00,625970.00,915784.00,166141.00,92297.00,18697.00,68087.00,82058.00,4230.00,1
14.00,44.00,245.00,474241.00,63899.00,18212.00,26808.00,28172.00,9887.00,28633.00,1161.00,1
10.00,50.00,-242.00,740051.00,193432.00,30676.00,21172.00,13048.00,32416.00,23598.00,1555.00,1
21.00,50.00,-60.00,1280100.00,97190.00,23938.00,26006.00,17244.00,27086.00,37423.00,793.00,1
27.00,48.00,-179.00,235877.00,47655.00,2910.00,10108.00,1128.00,7863.00,1245.00,391.00,1
35.00,41.00,189.00,468431.00,29016.00,5352.00,2690.00,3935.00,6818.00,3935.00,484.00,1
27.00,38.00,100.00,1946920.00,205610.00,15747.00,21097.00,14171.00,15248.00,12252.00,2712.00,1
26.00,48.00,-118.00,398253.00,46140.00,25468.00,52857.00,9736.00,22537.00,11241.00,3242.00,1
29.00,57.00,-152.00,733449.00,223507.00,16360.00,198928.00,27676.00,78967.00,81214.00,21131.00,1
30.00,64.00,301.00,420068.00,14673.00,10336.00,1413.00,7048.00,5258.00,2998.00,502.00,1
43.00,66.00,-49.00,2210773.00,730404.00,83966.00,80788.00,27896.00,196589.00,65926.00,3229.00,1
48.00,63.00,-20.00,808261.00,43706.00,38279.00,26623.00,13572.00,35389.00,10377.00,1506.00,1
40.00,50.00,-82.00,172576.00,61479.00,3161.00,7612.00,2212.00,5870.00,3300.00,605.00,1
50.00,40.00,244.00,1094917.00,113977.00,3391.00,28205.00,8538.00,81278.00,6376.00,1243.00,1
35.00,38.00,85.00,1156819.00,211816.00,4222.00,28973.00,8395.00,10728.00,18954.00,918.00,1
26.00,37.00,-18.00,1642345.00,373267.00,153333.00,107037.00,18245.00,88655.00,77645.00,6451.00,1
87.00,24.00,246.00,117269.00,133186.00,27576.00,11189.00,3959.00,45621.00,2589.00,2810.00,0
87.00,26.00,38.00,732041.00,9311.00,14438.00,10964.00,2706.00,38749.00,1034.00,2227.00,0
77.00,14.00,-635.00,819856.00,147339.00,94844.00,50347.00,12774.00,56090.00,25160.00,10575.00,0
77.00,14.00,262.00,985689.00,51772.00,22298.00,14211.00,2126.00,27635.00,1116.00,1135.00,0
77.00,14.00,283.00,295889.00,105039.00,17612.00,11486.00,8363.00,25179.00,14010.00,2470.00,0
77.00,14.00,-584.00,2562514.00,174435.00,49847.00,41595.00,24395.00,55783.00,53928.00,3709.00,0
77.00,14.00,-1325.00,2188291.00,357600.00,281529.00,364331.00,57134.00,192384.00,60249.00,26591.00,0
77.00,14.00,1020.00,867667.00,50549.00,67051.00,21940.00,16465.00,17676.00,4426.00,1435.00,0
77.00,14.00,-769.00,1050134.00,202783.00,83338.00,64790.00,20149.00,46453.00,5227.00,4025.00,0
77.00,14.00,258.00,127030.00,11152.00,10871.00,14830.00,1740.00,7564.00,980.00,801.00,0
77.00,14.00,5.00,896292.00,20921.00,10275.00,23743.00,18831.00,8681.00,19822.00,2376.00,0
77.00,14.00,-283.00,1234110.00,442275.00,44930.00,36734.00,19870.00,63831.00,63267.00,4662.00,0
77.00,14.00,101.00,198748.00,3938.00,5057.00,3605.00,2060.00,7568.00,691.00,740.00,0
77.00,14.00,281.00,169707.00,107479.00,4287.00,13876.00,8033.00,75567.00,3365.00,930.00,0
88.00,17.00,-166.00,1070746.00,128926.00,82086.00,73748.00,21403.00,127668.00,62625.00,1865.00,0
88.00,17.00,-121.00,282635.00,2797.00,4986.00,748.00,2704.00,41613.00,1485.00,217.00,0
88.00,17.00,867.00,114022.00,7496.00,1882.00,4180.00,750.00,3367.00,2095.00,365.00,0
88.00,17.00,-138.00,122715.00,9574.00,5271.00,9114.00,631.00,2298.00,4243.00,251.00,0
88.00,17.00,253.00,104260.00,15438.00,45035.00,4672.00,11020.00,38253.00,3468.00,896.00,0
88.00,17.00,483.00,72209.00,36450.00,3768.00,20573.00,7402.00,20057.00,11483.00,1215.00,0
88.00,17.00,-189.00,456285.00,28705.00,30844.00,19680.00,11897.00,23844.00,11355.00,1651.00,0
70.00,27.00,201.00,203938.00,36337.00,21192.00,33013.00,4642.00,23268.00,4009.00,959.00,0
70.00,27.00,459.00,1442136.00,63011.00,10189.00,7978.00,8437.00,45786.00,1786.00,1241.00,0
70.00,20.00,-541.00,162631.00,12795.00,4037.00,10707.00,4632.00,29330.00,1431.00,714.00,0
93.00,17.00,-365.00,2368442.00,67347.00,66094.00,74446.00,12548.00,152159.00,14525.00,2365.00,0
